f	stdf
3.4162490817547979e-06	9.1074677637858318e-05
1.9377588605592901e-06	5.4162054891005093e-05
1.0066127390459481e-06	2.9075664310041562e-05
4.7613621575188797e-07	1.4262237308394843e-05
2.2768927510756465e-07	7.1756762479761399e-06
1.1657212601533885e-07	3.6844906707945841e-06
4.965696339395477e-08	1.5695057182103782e-06
1.2196668967438227e-08	3.8549964353728002e-07
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
1.0009576980401313	0.10197975493519827
0.23310734855699508	0.10197884900825466
0.13025222998840399	0.094807749921325804
0.090047828902121554	0.085947324385098972
0.068588872252394392	0.078324487597184383
0.055242100718324381	0.072152686476604902
0.046052936220153433	0.067068900724816263
0.039334228560950937	0.062727781364254928
0.034180305735016361	0.059095484379617362
0.030123330491997044	0.055893940970397772
0.026866189454051465	0.053255869613422845
0.024153572016145937	0.051431786864132106
0.021891885689192054	0.049808210832944233
0.019951160073012474	0.048091362278663424
0.018274759435419816	0.046358755763966079
0.016794646866061452	0.044631331850651351
0.015510607693907339	0.043435321252170873
0.014456384703969923	0.042752237472103397
0.013411225900880492	0.041411264499941668
0.01247086060680303	0.040257858262892333
0.011624888108447915	0.039324550300314863
0.010905922761127623	0.038259272941814505
0.010263131391890844	0.037232345384169106
0.0096829408446419719	0.036281709136923863
0.0091312236357528748	0.035291108779642005
0.0086424164420452806	0.034603689831931725
0.008193145040767404	0.033798262382298619
0.0077331347573813738	0.032523308789281072
0.0072916051369889398	0.031125847419672555
0.0068827848990691415	0.029686668547105638
0.0065050165810192073	0.028310462363151285
0.0061578755067418708	0.027108395182501122
0.0058410198617911717	0.026041086636902924
0.005536073611154416	0.025069342289909109
0.0052328498881290646	0.024019496871705483
0.0049494283377015643	0.023145592340215758
0.0046841437358407867	0.022426836823266499
0.0044018441498843508	0.021350600617032787
0.0041664246273331431	0.020673378240707169
0.0039128360504527273	0.019769485353462114
0.0036817573211766221	0.019103433196506824
0.0034718088810902583	0.018614299823566549
0.0032720151647103149	0.017974039322717496
0.0030833615675954669	0.017308351636360294
0.0029057895598370927	0.016680260153482059
0.0027392533350152509	0.016103383580739865
0.0025719151155333825	0.015473306038047703
0.0024000127046063698	0.014708028841766922
0.0022279453960899016	0.01389181800083171
0.0020740811342209358	0.013280235023338494
0.0019280532016279417	0.01269199115079853
0.0017905087926807673	0.012097169032808127
0.0016726374338882457	0.011963934275332403
0.0015400203381141374	0.011535419575927588
0.0014123072155155002	0.010964258184263649
0.0012758403311298524	0.010253870864185537
0.0011470939002048855	0.0094987451470552424
0.0010272789809305689	0.0087159443754863536
0.00091412920188464004	0.0079559425474059042
0.00080125942036837739	0.0071560048816620234
0.00068895339829283129	0.0062752204394362857
0.00058227226764314907	0.0054527112128932723
0.00048404294706712753	0.0046532834386594328
0.00039136435461961899	0.0038679297041777625
0.00030400002236199785	0.0031421837791052944
0.00022739507017117893	0.0025193751222475488
0.00016410135717161015	0.0019378247051135618
0.00011264754022302173	0.0014369031166020605
7.9778195206046471e-05	0.0010180032776443281
5.1279291201366238e-05	0.00062232296551618287
3.1985737379024451e-05	0.00038876030194343454
2.0533837101859074e-05	0.00027745749090830695
1.250359517323624e-05	0.00019066022047722837
7.3169000343812632e-06	0.00012483887246426991
4.1194941602014347e-06	7.6170465177129696e-05
2.0950117459784391e-06	4.106146769353242e-05
8.9005206270121847e-07	1.8360001643052489e-05
2.8992597744916518e-07	6.2923833287270352e-06
5.8263470626214278e-08	1.508763682617267e-06
6.5590093767684794e-09	2.0731035526604073e-07
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.99980111232130875	0.099541910465708233
0.23238500344909677	0.09930537942792296
0.12931351203992911	0.091964129345435949
0.088940981965417845	0.083513941948974477
0.067509377640303056	0.076485134767259266
0.054248854515396149	0.070600625075865189
0.045191497286856619	0.065744513861544313
0.038628290057988582	0.061376474914875426
0.033617801301262178	0.05742647616278361
0.029672950383396682	0.054027038043317405
0.026475228004756782	0.051158623147242691
0.023817700901173963	0.048686846155086907
0.021562059554897574	0.04656900363930188
0.019633223646514118	0.044485229104201031
0.017993888504319922	0.042622998436719843
0.016569070144195931	0.040866218913501368
0.015320820408950376	0.039297669429650912
0.014218601719887747	0.037707202303423018
0.013238865726106479	0.036477619188672455
0.012362804672341727	0.035459195658363057
0.011542561657572168	0.033908262654142006
0.010816352288894777	0.032522897710997277
0.010164343366207295	0.031458554924740707
0.0095444621842210465	0.030275527566880556
0.0089607225399212162	0.029066792930017939
0.0084236252354244808	0.027936869873973164
0.0079134277673204804	0.02688484063152808
0.0073757432434279511	0.025806141062589872
0.0071036952860056898	0.024767956989238789
0.0065949937260624319	0.024082351388710947
0.0062905497926898212	0.023398485919039456
0.0059498974294771041	0.022708914377499501
0.0056181909910898139	0.022109113132448458
0.0052962187516694716	0.021397283926781068
0.0049862960938137201	0.02052897055568938
0.0046767798507794771	0.019615731633428696
0.0043775195220776995	0.018694590197254633
0.0040923731350835284	0.017778238419749504
0.0038295505533300586	0.016847723415443615
0.0035735216162591506	0.016071816669859677
0.0033287044232259912	0.015351232328352078
0.0030867794724640549	0.014601002988690314
0.0028650290311411169	0.01372961049614845
0.0026303633515379374	0.013893139311488074
0.0024538787218483997	0.013600875019005034
0.002281521788107848	0.013269120725380366
0.0021080057809771415	0.012787352800522699
0.0019429689814860387	0.012217095220115813
0.0017856804227654153	0.011669672148578818
0.0016263152261461853	0.010890880990841744
0.0014796397848012364	0.010331690736664447
0.0013453086258847632	0.0099073287371054027
0.0012131969932700662	0.0093489617089190964
0.0010910913420452157	0.0088832260924544514
0.00097536866677114384	0.0083496878202435516
0.00086807368908293375	0.0078292611758670125
0.00076958184450295344	0.0073147379646882216
0.00068294592584714517	0.0067856839170866165
0.00060230448604626141	0.0062689085270839513
0.00052647279766449104	0.0058342658209584106
0.00046420312864980072	0.0054613394201044572
0.00041052368482124885	0.005143195652053476
0.00036122552784532687	0.0049602004820955984
0.00031599578896977895	0.0049145376835027094
0.00027403726831366993	0.0048659098036739606
0.00023444659140583942	0.004624712885280915
0.00019689116663842383	0.0043085015677145604
0.00016068016418766855	0.0038432078499998647
0.00012982304603709649	0.0033476228510111831
0.00010618207275263628	0.0028437813362667467
8.4325252659627097e-05	0.0023305042849627133
6.4161013535658106e-05	0.0018177961310165505
4.5734028430427886e-05	0.0013191321587714467
2.8999589521786887e-05	0.00084116861142038274
1.7648647276677757e-05	0.00051166542293552234
1.3127419560098235e-05	0.00038405702635015658
9.5095044739830273e-06	0.0002791258609050492
6.6142297573370382e-06	0.00019445161572684627
4.3773056855353678e-06	0.00012866358398300366
2.7187065897673657e-06	7.9583098774511967e-05
1.515834686955972e-06	4.390233400953764e-05
7.1710028542206589e-07	2.0221921829290495e-05
2.9811811343914181e-07	8.0870733622891616e-06
1.1351510219587992e-07	3.0608070619399775e-06
3.2037134488041935e-08	9.7829952130038316e-07
4.6535724365959295e-09	1.470852837173812e-07
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
1.0008088763569758	0.10136774877266758
0.23426581500856428	0.10072512658979496
0.13126439289017622	0.092438294267751769
0.090842830819198223	0.083217461659200728
0.069296261463061712	0.075548693875119227
0.055803173029983194	0.069418114510235773
0.046493600422318197	0.064279635446726172
0.039687221889584803	0.059965635382978701
0.03448847465751443	0.056356788392340089
0.03040234441811647	0.053358977196510983
0.027118028975855565	0.050924228240052154
0.024473836346634678	0.049132520962160101
0.022265944863581362	0.047547836792620667
0.020404575478305761	0.045996585226183287
0.018735453124910116	0.044705402143232459
0.017237256730940374	0.043026290329938127
0.015711496535568577	0.041251737813903823
0.014505066060923014	0.039456252077918405
0.013427216602890773	0.037903822664101965
0.012494178137282251	0.036716107394964753
0.01165141843440402	0.035535769171280172
0.010888696380315189	0.03417762340230069
0.010162954858243837	0.033264757553004017
0.0095310868554821758	0.032249840753476693
0.0089505775626228367	0.031362728118238349
0.0084033600720817853	0.030445442393326035
0.0078962753093516341	0.029457894084863628
0.0074186196648661261	0.028690359392575637
0.0069679740387768845	0.027721668506496915
0.0065481972955553167	0.026663969048274758
0.0061477081801970699	0.025729455057559428
0.0057674652941946862	0.02474392886748766
0.0054668427017780111	0.023885077410570461
0.0051470500336501298	0.022942993290920678
0.004859529773943775	0.022085627549430501
0.0045900374465714872	0.021149323694392794
0.0043327916770125032	0.019923714079309159
0.0040759437032157758	0.018548593887105135
